MATRICULA;MARCA_MODELO;SOCIEDAD;COD_SOCIEDAD;CATEGORIA;FECHA_ADQUISICION;ORIGEN_FECHA;CONDUCTOR;REQ_1_SOCIEDAD;REQ_2_CATEGORIA;REQ_3_BAJA_DESDE;REQ_4_BAJA_HASTA;REQ_5_POSESION_MINIMA;ESTADO;MOTIVO_SIN_PAREJA;N_BAJAS_RECUPERABLES_CON_CONTRATOS;BAJAS_RECUPERABLES_CON_CONTRATOS;BAJAS_CERCANAS_FUERA_DE_VENTANA;QUE_HACER
0404MGW;OPEL VIVARO E-FURGON;CGAC;1505;Furgoneta/Furgón;2023-05-17;EXCEL;;CGAC (Cod.Sociedad 1505);Furgoneta/Furgón (codigo 5);2023-02-17;2023-11-17;"730 dias si se tuvo en arrendamiento (renting, alquiler, cesion); 365 dias si fue en propiedad";ELEGIBLE_SIN_PAREJA;Competencia: tenia 5 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC;1;3447KFH (NISSAN NV 200 1.5 DCI 90 CV, 2023-09-19, acredita 230d de 730d, regimen ALQUILER_CORTA_DURACION);"1947KMM (NISSAN NV 200 1.5 DCI 90 CV, 2023-02-01, -16d respecto al inicio); 2258JPC (OPEL COMBO 1.3 CDTI 90 CV, 2024-02-08, +83d respecto al limite); 3595KDF (PEUGEOT PARTNER 1.6 HDI 75 CV, 2024-02-20, +95d respecto al limite); 9094KRJ (OPEL COMBO 1.3 CDTI 95 CV, 2024-03-03, +107d respecto al limite)";Aportar los contratos anteriores de las bajas recuperables: si acreditan el periodo minimo, la pareja sale sin buscar nada mas
0408MGW;OPEL VIVARO E-FURGON;CGAC;1505;Furgoneta/Furgón;2023-05-17;EXCEL;;CGAC (Cod.Sociedad 1505);Furgoneta/Furgón (codigo 5);2023-02-17;2023-11-17;"730 dias si se tuvo en arrendamiento (renting, alquiler, cesion); 365 dias si fue en propiedad";ELEGIBLE_SIN_PAREJA;Competencia: tenia 5 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC;1;3447KFH (NISSAN NV 200 1.5 DCI 90 CV, 2023-09-19, acredita 230d de 730d, regimen ALQUILER_CORTA_DURACION);"1947KMM (NISSAN NV 200 1.5 DCI 90 CV, 2023-02-01, -16d respecto al inicio); 2258JPC (OPEL COMBO 1.3 CDTI 90 CV, 2024-02-08, +83d respecto al limite); 3595KDF (PEUGEOT PARTNER 1.6 HDI 75 CV, 2024-02-20, +95d respecto al limite); 9094KRJ (OPEL COMBO 1.3 CDTI 95 CV, 2024-03-03, +107d respecto al limite)";Aportar los contratos anteriores de las bajas recuperables: si acreditan el periodo minimo, la pareja sale sin buscar nada mas
0477MGW;OPEL VIVARO E-FURGON;CGAC;1505;Furgoneta/Furgón;2023-05-09;DOCUMENTO;;CGAC (Cod.Sociedad 1505);Furgoneta/Furgón (codigo 5);2023-02-09;2023-11-09;"730 dias si se tuvo en arrendamiento (renting, alquiler, cesion); 365 dias si fue en propiedad";ELEGIBLE_SIN_PAREJA;Competencia: tenia 5 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC;1;3447KFH (NISSAN NV 200 1.5 DCI 90 CV, 2023-09-19, acredita 230d de 730d, regimen ALQUILER_CORTA_DURACION);"1947KMM (NISSAN NV 200 1.5 DCI 90 CV, 2023-02-01, -8d respecto al inicio); 2258JPC (OPEL COMBO 1.3 CDTI 90 CV, 2024-02-08, +91d respecto al limite); 3595KDF (PEUGEOT PARTNER 1.6 HDI 75 CV, 2024-02-20, +103d respecto al limite); 9094KRJ (OPEL COMBO 1.3 CDTI 95 CV, 2024-03-03, +115d respecto al limite)";Aportar los contratos anteriores de las bajas recuperables: si acreditan el periodo minimo, la pareja sale sin buscar nada mas
0777MJM;PEUGEOT E-PARTNER PRO 100 KW;CGAC;1505;Furgoneta/Furgón;2023-07-19;DOCUMENTO;;CGAC (Cod.Sociedad 1505);Furgoneta/Furgón (codigo 5);2023-04-19;2024-01-19;"730 dias si se tuvo en arrendamiento (renting, alquiler, cesion); 365 dias si fue en propiedad";ELEGIBLE_SIN_PAREJA;Competencia: tenia 3 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC;1;3447KFH (NISSAN NV 200 1.5 DCI 90 CV, 2023-09-19, acredita 230d de 730d, regimen ALQUILER_CORTA_DURACION);"5949LLV (PEUGEOT PARTNER 1.5 HDI 98 CV, 2023-04-08, -11d respecto al inicio); T5455BB (FORD TRANSIT 1.8 TDCI 80 CV, 2023-03-09, -41d respecto al inicio); 1947KMM (NISSAN NV 200 1.5 DCI 90 CV, 2023-02-01, -77d respecto al inicio); 2258JPC (OPEL COMBO 1.3 CDTI 90 CV, 2024-02-08, +20d respecto al limite)";Aportar los contratos anteriores de las bajas recuperables: si acreditan el periodo minimo, la pareja sale sin buscar nada mas
0778MJM;PEUGEOT E-PARTNER PRO 100 KW;CGAC;1505;Furgoneta/Furgón;2023-07-19;DOCUMENTO;;CGAC (Cod.Sociedad 1505);Furgoneta/Furgón (codigo 5);2023-04-19;2024-01-19;"730 dias si se tuvo en arrendamiento (renting, alquiler, cesion); 365 dias si fue en propiedad";ELEGIBLE_SIN_PAREJA;Competencia: tenia 3 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC;1;3447KFH (NISSAN NV 200 1.5 DCI 90 CV, 2023-09-19, acredita 230d de 730d, regimen ALQUILER_CORTA_DURACION);"5949LLV (PEUGEOT PARTNER 1.5 HDI 98 CV, 2023-04-08, -11d respecto al inicio); T5455BB (FORD TRANSIT 1.8 TDCI 80 CV, 2023-03-09, -41d respecto al inicio); 1947KMM (NISSAN NV 200 1.5 DCI 90 CV, 2023-02-01, -77d respecto al inicio); 2258JPC (OPEL COMBO 1.3 CDTI 90 CV, 2024-02-08, +20d respecto al limite)";Aportar los contratos anteriores de las bajas recuperables: si acreditan el periodo minimo, la pareja sale sin buscar nada mas
0800MJM;PEUGEOT E-PARTNER PRO 100 KW;CGAC;1505;Furgoneta/Furgón;2023-07-19;DOCUMENTO;;CGAC (Cod.Sociedad 1505);Furgoneta/Furgón (codigo 5);2023-04-19;2024-01-19;"730 dias si se tuvo en arrendamiento (renting, alquiler, cesion); 365 dias si fue en propiedad";ELEGIBLE_SIN_PAREJA;Competencia: tenia 3 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC;1;3447KFH (NISSAN NV 200 1.5 DCI 90 CV, 2023-09-19, acredita 230d de 730d, regimen ALQUILER_CORTA_DURACION);"5949LLV (PEUGEOT PARTNER 1.5 HDI 98 CV, 2023-04-08, -11d respecto al inicio); T5455BB (FORD TRANSIT 1.8 TDCI 80 CV, 2023-03-09, -41d respecto al inicio); 1947KMM (NISSAN NV 200 1.5 DCI 90 CV, 2023-02-01, -77d respecto al inicio); 2258JPC (OPEL COMBO 1.3 CDTI 90 CV, 2024-02-08, +20d respecto al limite)";Aportar los contratos anteriores de las bajas recuperables: si acreditan el periodo minimo, la pareja sale sin buscar nada mas
1255MJM;PEUGEOT E-EXPERT PRO 100 KW;CGAC;1505;Furgoneta/Furgón;2023-07-21;DOCUMENTO;;CGAC (Cod.Sociedad 1505);Furgoneta/Furgón (codigo 5);2023-04-21;2024-01-21;"730 dias si se tuvo en arrendamiento (renting, alquiler, cesion); 365 dias si fue en propiedad";ELEGIBLE_SIN_PAREJA;Competencia: tenia 3 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC;1;3447KFH (NISSAN NV 200 1.5 DCI 90 CV, 2023-09-19, acredita 230d de 730d, regimen ALQUILER_CORTA_DURACION);"5949LLV (PEUGEOT PARTNER 1.5 HDI 98 CV, 2023-04-08, -13d respecto al inicio); T5455BB (FORD TRANSIT 1.8 TDCI 80 CV, 2023-03-09, -43d respecto al inicio); 1947KMM (NISSAN NV 200 1.5 DCI 90 CV, 2023-02-01, -79d respecto al inicio); 2258JPC (OPEL COMBO 1.3 CDTI 90 CV, 2024-02-08, +18d respecto al limite)";Aportar los contratos anteriores de las bajas recuperables: si acreditan el periodo minimo, la pareja sale sin buscar nada mas
1256MJM;PEUGEOT E-EXPERT PRO 100 KW;CGAC;1505;Furgoneta/Furgón;2023-07-21;DOCUMENTO;;CGAC (Cod.Sociedad 1505);Furgoneta/Furgón (codigo 5);2023-04-21;2024-01-21;"730 dias si se tuvo en arrendamiento (renting, alquiler, cesion); 365 dias si fue en propiedad";ELEGIBLE_SIN_PAREJA;Competencia: tenia 3 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC;1;3447KFH (NISSAN NV 200 1.5 DCI 90 CV, 2023-09-19, acredita 230d de 730d, regimen ALQUILER_CORTA_DURACION);"5949LLV (PEUGEOT PARTNER 1.5 HDI 98 CV, 2023-04-08, -13d respecto al inicio); T5455BB (FORD TRANSIT 1.8 TDCI 80 CV, 2023-03-09, -43d respecto al inicio); 1947KMM (NISSAN NV 200 1.5 DCI 90 CV, 2023-02-01, -79d respecto al inicio); 2258JPC (OPEL COMBO 1.3 CDTI 90 CV, 2024-02-08, +18d respecto al limite)";Aportar los contratos anteriores de las bajas recuperables: si acreditan el periodo minimo, la pareja sale sin buscar nada mas
1258MJM;PEUGEOT E-EXPERT PRO 100 KW;CGAC;1505;Furgoneta/Furgón;2023-07-21;DOCUMENTO;;CGAC (Cod.Sociedad 1505);Furgoneta/Furgón (codigo 5);2023-04-21;2024-01-21;"730 dias si se tuvo en arrendamiento (renting, alquiler, cesion); 365 dias si fue en propiedad";ELEGIBLE_SIN_PAREJA;Competencia: tenia 3 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC;1;3447KFH (NISSAN NV 200 1.5 DCI 90 CV, 2023-09-19, acredita 230d de 730d, regimen ALQUILER_CORTA_DURACION);"5949LLV (PEUGEOT PARTNER 1.5 HDI 98 CV, 2023-04-08, -13d respecto al inicio); T5455BB (FORD TRANSIT 1.8 TDCI 80 CV, 2023-03-09, -43d respecto al inicio); 1947KMM (NISSAN NV 200 1.5 DCI 90 CV, 2023-02-01, -79d respecto al inicio); 2258JPC (OPEL COMBO 1.3 CDTI 90 CV, 2024-02-08, +18d respecto al limite)";Aportar los contratos anteriores de las bajas recuperables: si acreditan el periodo minimo, la pareja sale sin buscar nada mas
1261MJM;PEUGEOT E-EXPERT PRO 100 KW;CGAC;1505;Furgoneta/Furgón;2023-07-21;DOCUMENTO;;CGAC (Cod.Sociedad 1505);Furgoneta/Furgón (codigo 5);2023-04-21;2024-01-21;"730 dias si se tuvo en arrendamiento (renting, alquiler, cesion); 365 dias si fue en propiedad";ELEGIBLE_SIN_PAREJA;Competencia: tenia 3 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC;1;3447KFH (NISSAN NV 200 1.5 DCI 90 CV, 2023-09-19, acredita 230d de 730d, regimen ALQUILER_CORTA_DURACION);"5949LLV (PEUGEOT PARTNER 1.5 HDI 98 CV, 2023-04-08, -13d respecto al inicio); T5455BB (FORD TRANSIT 1.8 TDCI 80 CV, 2023-03-09, -43d respecto al inicio); 1947KMM (NISSAN NV 200 1.5 DCI 90 CV, 2023-02-01, -79d respecto al inicio); 2258JPC (OPEL COMBO 1.3 CDTI 90 CV, 2024-02-08, +18d respecto al limite)";Aportar los contratos anteriores de las bajas recuperables: si acreditan el periodo minimo, la pareja sale sin buscar nada mas
