ROL;MATRICULA;SOCIEDAD;CATEGORIA;REGIMEN;FECHA;MOTIVO_DESCARTE
ALTA;0176MWZ;EMIVASA;Turismo;-;2024-12-11;Competencia: tenia 7 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en EMIVASA
ALTA;0178MWZ;EMIVASA;Turismo;-;2024-12-11;Competencia: tenia 7 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en EMIVASA
ALTA;0182MWZ;EMIVASA;Turismo;-;2024-12-11;Competencia: tenia 7 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en EMIVASA
ALTA;0189MWZ;EMIVASA;Turismo;-;2024-12-11;Competencia: tenia 7 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en EMIVASA
ALTA;0190MWZ;EMIVASA;Turismo;-;2024-12-11;Competencia: tenia 7 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en EMIVASA
ALTA;0191MWZ;EMIVASA;Turismo;-;2024-12-11;Competencia: tenia 7 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en EMIVASA
ALTA;0192MWZ;EMIVASA;Turismo;-;2024-12-11;Competencia: tenia 7 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en EMIVASA
ALTA;0199MWZ;EMIVASA;Turismo;-;2024-12-11;Competencia: tenia 7 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en EMIVASA
ALTA;0210MWZ;EMIVASA;Turismo;-;2024-11-25;Competencia: tenia 6 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en EMIVASA
ALTA;0213MWZ;EMIVASA;Turismo;-;2024-11-25;Competencia: tenia 6 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en EMIVASA
ALTA;0224MWZ;EMIVASA;Turismo;-;2024-11-25;Competencia: tenia 6 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Turismo en EMIVASA
ALTA;0404MGW;CGAC;Furgoneta/Furgón;-;2023-05-17;Competencia: tenia 5 baja(s) admisible(s) pero otra alta de la misma sociedad las aprovecha mejor. Se necesitan mas bajas de Furgoneta/Furgón en CGAC
