MATRICULA_ALTA;MARCA_MODELO_ALTA;SOCIEDAD;COD_SOCIEDAD;CATEGORIA;FECHA_ADQUISICION;ORIGEN_FECHA_ALTA;MATRICULA_BAJA;MARCA_MODELO_BAJA;COMBUSTIBLE_BAJA;REGIMEN_BAJA;PROVEEDOR_BAJA;FECHA_BAJA;ORIGEN_FECHA_BAJA;DESFASE_DIAS;DIAS_POSESION;ESTADO_POSESION;R1_MISMA_SOCIEDAD;R2_POSESION;R3_BEV_VS_COMBUSTION;R4_MISMA_CATEGORIA;R5_VENTANA_TEMPORAL;R6_AMBITO_CAE;NIVEL;DOC_ALTA;DOC_BAJA;ACCION_PENDIENTE
0767MJM;PEUGEOT E-PARTNER PRO 100 KW;CGAC;1505;Furgoneta/Furgón;2023-07-19;DOCUMENTO;5875KPY;FIAT FIORINO 1.3 MULTIJET 80 CV;DIESEL;ALQUILER_CORTA_DURACION;NORTHGATE;2023-06-30;DOCUMENTO;-19;1716;DEFENDIBLE;OK (CGAC);OK 1716d >= 730d (REGIMEN_A_VERIFICAR);OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2023-06-30 en 2023-04-19..2024-01-19);OK (2023-07-19 > 2023-01-25);C_CONDICIONADO;SI;SI;"posesion solo defendible por antiguedad: aportar contratos previos; REGIMEN_A_VERIFICAR: el Excel etiqueta el contrato como 'ALQUILER_CORTA_DURACION' con NORTHGATE. El contrato solo cubre 149d, por debajo de los 730d exigidos; la pareja se sostiene unicamente contando 1716d desde la matriculacion. COMPROBAR con doble motivo: hay que reconstruir con contratos la cadena completa de posesion, porque a dia de hoy lo unico documentado es la antiguedad del vehiculo, no que lo tuviera el solicitante"
0971MXH;RENAULT KANGOO VAN E-TECH ELECTRIC;MEDICION AVANZADA CONTAD.;1021;Furgoneta/Furgón;2024-12-19;DOCUMENTO;7001LLV;PEUGEOT PARTNER 1.5 HDI 98 CV;DIESEL;RENTING;AYVENS;2025-04-04;DOCUMENTO;106;1527;ACREDITADA;OK (MEDICION AVANZADA CONTAD.);OK 1527d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2025-04-04 en 2024-09-19..2025-06-19);OK (2024-12-19 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
1066MWL;CITROEN Ë-BERLINGO 136 CV;CGAC;1505;Turismo;2024-10-23;DOCUMENTO;1947LMM;NISSAN NV250 1.5 DCI L1H1 95 CV;DIESEL;ALQUILER_CORTA_DURACION;NORTHGATE;2024-09-07;DOCUMENTO;-46;1311;DEFENDIBLE;OK (CGAC);OK 1311d >= 730d (REGIMEN_A_VERIFICAR);OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2024-09-07 en 2024-07-23..2025-04-23);OK (2024-10-23 > 2023-01-25);C_CONDICIONADO;SI;SI;"posesion solo defendible por antiguedad: aportar contratos previos; REGIMEN_A_VERIFICAR: el Excel etiqueta el contrato como 'ALQUILER_CORTA_DURACION' con NORTHGATE. El contrato solo cubre 372d, por debajo de los 730d exigidos; la pareja se sostiene unicamente contando 1311d desde la matriculacion. COMPROBAR con doble motivo: hay que reconstruir con contratos la cadena completa de posesion, porque a dia de hoy lo unico documentado es la antiguedad del vehiculo, no que lo tuviera el solicitante; la fecha de alta del Excel contradice a la factura: decidir cual vale"
1108KHK;RENAULT ZOE 40;G.O.MEDIOAMBIENTE S.L.;1004;Turismo;2024-06-14;DOCUMENTO;2653LTG;SEAT LEON 2.0 TDI;DIESEL;ALQUILER_CORTA_DURACION;AYVENS;2024-06-07;DOCUMENTO;-7;973;DEFENDIBLE;OK (G.O.MEDIOAMBIENTE S.L.);OK 973d >= 730d (REGIMEN_A_VERIFICAR);OK (ELECTRICO <- DIESEL);OK (Turismo);OK (2024-06-07 en 2024-03-14..2024-12-14);OK (2024-06-14 > 2023-01-25);C_CONDICIONADO;SI;SI;"posesion solo defendible por antiguedad: aportar contratos previos; REGIMEN_A_VERIFICAR: el Excel etiqueta el contrato como 'ALQUILER_CORTA_DURACION' con AYVENS. El contrato solo cubre 30d, por debajo de los 730d exigidos; la pareja se sostiene unicamente contando 973d desde la matriculacion. COMPROBAR con doble motivo: hay que reconstruir con contratos la cadena completa de posesion, porque a dia de hoy lo unico documentado es la antiguedad del vehiculo, no que lo tuviera el solicitante; la fecha de alta del Excel contradice a la factura: decidir cual vale"
1666MGR;OPEL VIVARO E-FURGON;CGAC;1505;Furgoneta/Furgón;2023-04-27;DOCUMENTO;T5455BB;FORD TRANSIT 1.8 TDCI 80 CV;DIESEL;PROPIEDAD;PROPIEDAD;2023-03-09;DOCUMENTO;-49;8833;ACREDITADA;OK (CGAC);OK 8833d >= 365d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2023-03-09 en 2023-01-27..2023-10-27);OK (2023-04-27 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
1667MGR;OPEL VIVARO E-FURGON;CGAC;1505;Furgoneta/Furgón;2023-04-26;DOCUMENTO;5949LLV;PEUGEOT PARTNER 1.5 HDI 98 CV;DIESEL;RENTING;AYVENS;2023-04-08;DOCUMENTO;-18;761;ACREDITADA;OK (CGAC);OK 761d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2023-04-08 en 2023-01-26..2023-10-26);OK (2023-04-26 > 2023-01-25);A_ACREDITADO;SI;SI;Documentacion en carpeta y reglas verificadas con documento
2076MJP;RENAULT KANGOO VAN E-TECH;CGAC;1505;Furgoneta/Furgón;2023-07-25;DOCUMENTO;6586KPD;OPEL COMBO 1.3 CDTI 95 CV;DIESEL;RENTING;AYVENS;2023-10-26;DOCUMENTO;93;1870;ACREDITADA;OK (CGAC);OK 1870d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2023-10-26 en 2023-04-25..2024-01-25);OK (2023-07-25 > 2023-01-25);B_INDICIO;SI;SI;"acta de devolucion presente y legible (26/10/2023, 177987 km, conductor JACINTO PLAZA) pero aportada como imagen JPEG: pedir el mismo documento en PDF, que es lo que exige la normativa. NO volver a pedir el acta"
2120MFK;RENAULT KANGOO VAN E-TECH;CGAC;1505;Furgoneta/Furgón;2023-07-25;DOCUMENTO;4535KFH;PEUGEOT PARTNER 1.6 HDI 75 CV;DIESEL;ALQUILER_CORTA_DURACION;NORTHGATE;2023-09-19;DOCUMENTO;56;2135;DEFENDIBLE;OK (CGAC);OK 2135d >= 730d (REGIMEN_A_VERIFICAR);OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2023-09-19 en 2023-04-25..2024-01-25);OK (2023-07-25 > 2023-01-25);C_CONDICIONADO;SI;SI;"posesion solo defendible por antiguedad: aportar contratos previos; REGIMEN_A_VERIFICAR: el Excel etiqueta el contrato como 'ALQUILER_CORTA_DURACION' con NORTHGATE. El contrato solo cubre 230d, por debajo de los 730d exigidos; la pareja se sostiene unicamente contando 2135d desde la matriculacion. COMPROBAR con doble motivo: hay que reconstruir con contratos la cadena completa de posesion, porque a dia de hoy lo unico documentado es la antiguedad del vehiculo, no que lo tuviera el solicitante; la fecha de alta del Excel contradice a la factura: decidir cual vale"
2704MXG;RENAULT KANGOO VAN E-TECH ELECTRIC;AVSA;1001;Furgoneta/Furgón;2024-12-18;DOCUMENTO;9377LMG;PEUGEOT PARTNER 1.5 HDI 98 CV;DIESEL;RENTING;AYVENS;2025-03-05;EXCEL;77;1461;ACREDITADA;OK (AVSA);OK 1461d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2025-03-05 en 2024-09-18..2025-06-18);OK (2024-12-18 > 2023-01-25);B_INDICIO;SI;NO;"confirmar fecha de baja con el documento de entrega; aportar acta de devolucion firmada; solicitar carpeta documental del vehiculo sustituido"
2705MXG;RENAULT KANGOO VAN E-TECH ELECTRIC;AVSA;1001;Furgoneta/Furgón;2024-12-18;DOCUMENTO;4926LMS;PEUGEOT PARTNER 1.5 HDI 98 CV;DIESEL;RENTING;AYVENS;2024-10-29;DOCUMENTO;-50;1303;ACREDITADA;OK (AVSA);OK 1303d >= 730d;OK (ELECTRICO <- DIESEL);OK (Furgoneta/Furgón);OK (2024-10-29 en 2024-09-18..2025-06-18);OK (2024-12-18 > 2023-01-25);C_CONDICIONADO;SI;SI;baja por siniestro: acreditar con baja definitiva DGT, no con venta
