MATRICULA_ALTA;MARCA_MODELO_ALTA;SOCIEDAD;CATEGORIA;FECHA_ADQUISICION;ESTADO;MATRICULA_BAJA;MARCA_MODELO_BAJA;REGIMEN_BAJA;FECHA_BAJA;DESFASE_DIAS;DIAS_POSESION;NIVEL;DOCS_ALTA;DOCS_BAJA;REQUISITOS_QUE_FALTAN;OBSERVACIONES
0767MJM;PEUGEOT E-PARTNER PRO 100 KW;CGAC;Furgoneta/Furgón;2023-07-19;CON_PAREJA;5875KPY;FIAT FIORINO 1.3 MULTIJET 80 CV;ALQUILER_CORTA_DURACION;2023-06-30;-19;1716;C_CONDICIONADO;1;5;5.6:Prueba de salida del patrimonio de 5875KPY: contrato de compraventa, factura del concesionario, nuevo permiso a nombre del comprador o baja definitiva DGT;"posesion solo defendible por antiguedad: aportar contratos previos; REGIMEN_A_VERIFICAR: el Excel etiqueta el contrato como 'ALQUILER_CORTA_DURACION' con NORTHGATE. El contrato solo cubre 149d, por debajo de los 730d exigidos; la pareja se sostiene unicamente contando 1716d desde la matriculacion. COMPROBAR con doble motivo: hay que reconstruir con contratos la cadena completa de posesion, porque a dia de hoy lo unico documentado es la antiguedad del vehiculo, no que lo tuviera el solicitante"
1666MGR;OPEL VIVARO E-FURGON;CGAC;Furgoneta/Furgón;2023-04-27;CON_PAREJA;T5455BB;FORD TRANSIT 1.8 TDCI 80 CV;PROPIEDAD;2023-03-09;-49;8833;A_ACREDITADO;1;4;;Documentacion en carpeta y reglas verificadas con documento
1667MGR;OPEL VIVARO E-FURGON;CGAC;Furgoneta/Furgón;2023-04-26;CON_PAREJA;5949LLV;PEUGEOT PARTNER 1.5 HDI 98 CV;RENTING;2023-04-08;-18;761;A_ACREDITADO;1;3;5.4:Ficha tecnica de 5949LLV (vehiculo sustituido);Documentacion en carpeta y reglas verificadas con documento
2076MJP;RENAULT KANGOO VAN E-TECH;CGAC;Furgoneta/Furgón;2023-07-25;CON_PAREJA;6586KPD;OPEL COMBO 1.3 CDTI 95 CV;RENTING;2023-10-26;93;1870;A_ACREDITADO;1;4;5.4:Ficha tecnica de 6586KPD (vehiculo sustituido);Documentacion en carpeta y reglas verificadas con documento
2120MFK;RENAULT KANGOO VAN E-TECH;CGAC;Furgoneta/Furgón;2023-07-25;CON_PAREJA;4535KFH;PEUGEOT PARTNER 1.6 HDI 75 CV;ALQUILER_CORTA_DURACION;2023-09-19;56;2135;C_CONDICIONADO;1;6;5.6:Prueba de salida del patrimonio de 4535KFH: contrato de compraventa, factura del concesionario, nuevo permiso a nombre del comprador o baja definitiva DGT;"posesion solo defendible por antiguedad: aportar contratos previos; REGIMEN_A_VERIFICAR: el Excel etiqueta el contrato como 'ALQUILER_CORTA_DURACION' con NORTHGATE. El contrato solo cubre 230d, por debajo de los 730d exigidos; la pareja se sostiene unicamente contando 2135d desde la matriculacion. COMPROBAR con doble motivo: hay que reconstruir con contratos la cadena completa de posesion, porque a dia de hoy lo unico documentado es la antiguedad del vehiculo, no que lo tuviera el solicitante; la fecha de alta del Excel contradice a la factura: decidir cual vale"
5566KSD;RENAULT ZOE 40;G.O.MEDIOAMBIENTE S.L.;Turismo;2023-12-22;CON_PAREJA;6994KGK;PEUGEOT 208 1.2 82 CV;ALQUILER_CORTA_DURACION;2023-12-01;-21;815;C_CONDICIONADO;1;2;5.4:Ficha tecnica de 6994KGK (vehiculo sustituido) | 5.5:Permiso de circulacion o recibo IVTM de 6994KGK | 5.6:Prueba de salida del patrimonio de 6994KGK: contrato de compraventa, factura del concesionario, nuevo permiso a nombre del comprador o baja definitiva DGT;"REGIMEN_A_VERIFICAR: el Excel etiqueta el contrato como 'ALQUILER_CORTA_DURACION' con AYVENS. Se admite porque el propio contrato cubre 815d, por encima de los 730d exigidos: lo que decide es el periodo de posesion, no como se llame el contrato. COMPROBAR en el contrato que ese periodo es continuado y no una sucesion de alquileres con interrupciones; la fecha de alta del Excel contradice a la factura: decidir cual vale"
8873KDN;RENAULT ZOE 40;GAMASER;Turismo;2023-11-01;CON_PAREJA;1751LHM;VOLKSWAGEN T-ROC 1.6 TDI 115 CV;RENTING;2023-08-31;-62;1155;B_INDICIO;0;2;5.3:Factura de adquisicion de 8873KDN (vehiculo nuevo) | 5.4:Ficha tecnica de 1751LHM (vehiculo sustituido) | 5.6:Acta de entrega/devolucion de 1751LHM firmada en conformidad;"confirmar fecha de adquisicion con factura o permiso de circulacion; confirmar fecha de baja con el documento de entrega; aportar acta de devolucion firmada; solicitar carpeta documental del vehiculo nuevo"
0404MGW;OPEL VIVARO E-FURGON;CGAC;Furgoneta/Furgón;2023-05-17;SIN_PAREJA;;;;;;;;0;;Baja Furgoneta/Furgón de CGAC con salida entre 2023-02-17 y 2023-11-17;Competencia — habia 5 baja(s) admisible(s) pero otras altas de la misma sociedad las aprovechan mejor (T5455BB → 1666MGR, 5875KPY → 0767MJM, 6586KPD → 2076MJP, 4535KFH → 2120MFK)
0408MGW;OPEL VIVARO E-FURGON;CGAC;Furgoneta/Furgón;2023-05-17;SIN_PAREJA;;;;;;;;0;;Baja Furgoneta/Furgón de CGAC con salida entre 2023-02-17 y 2023-11-17;Competencia — habia 5 baja(s) admisible(s) pero otras altas de la misma sociedad las aprovechan mejor (T5455BB → 1666MGR, 5875KPY → 0767MJM, 6586KPD → 2076MJP, 4535KFH → 2120MFK)
0477MGW;OPEL VIVARO E-FURGON;CGAC;Furgoneta/Furgón;2023-05-09;SIN_PAREJA;;;;;;;;1;;Baja Furgoneta/Furgón de CGAC con salida entre 2023-02-09 y 2023-11-09;Competencia — habia 5 baja(s) admisible(s) pero otras altas de la misma sociedad las aprovechan mejor (T5455BB → 1666MGR, 5875KPY → 0767MJM, 6586KPD → 2076MJP, 4535KFH → 2120MFK)
0777MJM;PEUGEOT E-PARTNER PRO 100 KW;CGAC;Furgoneta/Furgón;2023-07-19;SIN_PAREJA;;;;;;;;1;;Baja Furgoneta/Furgón de CGAC con salida entre 2023-04-19 y 2024-01-19;Competencia — habia 3 baja(s) admisible(s) pero otras altas de la misma sociedad las aprovechan mejor (5875KPY → 0767MJM, 6586KPD → 2076MJP, 4535KFH → 2120MFK)
0778MJM;PEUGEOT E-PARTNER PRO 100 KW;CGAC;Furgoneta/Furgón;2023-07-19;SIN_PAREJA;;;;;;;;1;;Baja Furgoneta/Furgón de CGAC con salida entre 2023-04-19 y 2024-01-19;Competencia — habia 3 baja(s) admisible(s) pero otras altas de la misma sociedad las aprovechan mejor (5875KPY → 0767MJM, 6586KPD → 2076MJP, 4535KFH → 2120MFK)
0800MJM;PEUGEOT E-PARTNER PRO 100 KW;CGAC;Furgoneta/Furgón;2023-07-19;SIN_PAREJA;;;;;;;;1;;Baja Furgoneta/Furgón de CGAC con salida entre 2023-04-19 y 2024-01-19;Competencia — habia 3 baja(s) admisible(s) pero otras altas de la misma sociedad las aprovechan mejor (5875KPY → 0767MJM, 6586KPD → 2076MJP, 4535KFH → 2120MFK)
1255MJM;PEUGEOT E-EXPERT PRO 100 KW;CGAC;Furgoneta/Furgón;2023-07-21;SIN_PAREJA;;;;;;;;1;;Baja Furgoneta/Furgón de CGAC con salida entre 2023-04-21 y 2024-01-21;Competencia — habia 3 baja(s) admisible(s) pero otras altas de la misma sociedad las aprovechan mejor (5875KPY → 0767MJM, 6586KPD → 2076MJP, 4535KFH → 2120MFK)
1256MJM;PEUGEOT E-EXPERT PRO 100 KW;CGAC;Furgoneta/Furgón;2023-07-21;SIN_PAREJA;;;;;;;;1;;Baja Furgoneta/Furgón de CGAC con salida entre 2023-04-21 y 2024-01-21;Competencia — habia 3 baja(s) admisible(s) pero otras altas de la misma sociedad las aprovechan mejor (5875KPY → 0767MJM, 6586KPD → 2076MJP, 4535KFH → 2120MFK)
1258MJM;PEUGEOT E-EXPERT PRO 100 KW;CGAC;Furgoneta/Furgón;2023-07-21;SIN_PAREJA;;;;;;;;1;;Baja Furgoneta/Furgón de CGAC con salida entre 2023-04-21 y 2024-01-21;Competencia — habia 3 baja(s) admisible(s) pero otras altas de la misma sociedad las aprovechan mejor (5875KPY → 0767MJM, 6586KPD → 2076MJP, 4535KFH → 2120MFK)
1261MJM;PEUGEOT E-EXPERT PRO 100 KW;CGAC;Furgoneta/Furgón;2023-07-21;SIN_PAREJA;;;;;;;;1;;Baja Furgoneta/Furgón de CGAC con salida entre 2023-04-21 y 2024-01-21;Competencia — habia 3 baja(s) admisible(s) pero otras altas de la misma sociedad las aprovechan mejor (5875KPY → 0767MJM, 6586KPD → 2076MJP, 4535KFH → 2120MFK)
1406KDP;RENAULT ZOE 40;MEDICION AVANZADA CONTAD.;Turismo;2023-02-16;SIN_PAREJA;;;;;;;;0;;Baja Turismo de MEDICION AVANZADA CONTAD. con salida entre 2022-11-16 y 2023-08-16;R5 — 2 bajas de su sociedad y categoria, ninguna en la ventana. Mas cercanas: 0818LKK (2025-01-10, +694d), 8030LKY (2025-01-16, +700d)
2043MJP;RENAULT KANGOO VAN E-TECH;CGAC;Furgoneta/Furgón;2023-07-25;SIN_PAREJA;;;;;;;;1;;Baja Furgoneta/Furgón de CGAC con salida entre 2023-04-25 y 2024-01-25;Competencia — habia 3 baja(s) admisible(s) pero otras altas de la misma sociedad las aprovechan mejor (5875KPY → 0767MJM, 6586KPD → 2076MJP, 4535KFH → 2120MFK)
2062MJP;RENAULT KANGOO VAN E-TECH;CGAC;Furgoneta/Furgón;2023-07-25;SIN_PAREJA;;;;;;;;1;;Baja Furgoneta/Furgón de CGAC con salida entre 2023-04-25 y 2024-01-25;Competencia — habia 3 baja(s) admisible(s) pero otras altas de la misma sociedad las aprovechan mejor (5875KPY → 0767MJM, 6586KPD → 2076MJP, 4535KFH → 2120MFK)
2087MJP;RENAULT KANGOO VAN E-TECH;CGAC;Furgoneta/Furgón;2023-03-03;SIN_PAREJA;;;;;;;;1;;Baja Furgoneta/Furgón de CGAC con salida entre 2022-12-03 y 2023-09-03;Competencia — habia 3 baja(s) admisible(s) pero otras altas de la misma sociedad las aprovechan mejor (T5455BB → 1666MGR, 5875KPY → 0767MJM, 5949LLV → 1667MGR)
2340MGR;OPEL VIVARO E-FURGON;CGAC;Furgoneta/Furgón;2023-04-26;SIN_PAREJA;;;;;;;;1;;Baja Furgoneta/Furgón de CGAC con salida entre 2023-01-26 y 2023-10-26;Competencia — habia 5 baja(s) admisible(s) pero otras altas de la misma sociedad las aprovechan mejor (T5455BB → 1666MGR, 5875KPY → 0767MJM, 6586KPD → 2076MJP, 4535KFH → 2120MFK)
2343MGR;OPEL VIVARO E-FURGON;CGAC;Furgoneta/Furgón;2023-04-27;SIN_PAREJA;;;;;;;;1;;Baja Furgoneta/Furgón de CGAC con salida entre 2023-01-27 y 2023-10-27;Competencia — habia 5 baja(s) admisible(s) pero otras altas de la misma sociedad las aprovechan mejor (T5455BB → 1666MGR, 5875KPY → 0767MJM, 6586KPD → 2076MJP, 4535KFH → 2120MFK)
3140MHW;RENAULT KANGOO VAN E-TECH;CGAC;Furgoneta/Furgón;2023-06-28;SIN_PAREJA;;;;;;;;0;;Baja Furgoneta/Furgón de CGAC con salida entre 2023-03-28 y 2023-12-28;Competencia — habia 4 baja(s) admisible(s) pero otras altas de la misma sociedad las aprovechan mejor (5875KPY → 0767MJM, 6586KPD → 2076MJP, 4535KFH → 2120MFK, 5949LLV → 1667MGR)
3192MHW;RENAULT KANGOO VAN E-TECH;CGAC;Furgoneta/Furgón;2023-06-28;SIN_PAREJA;;;;;;;;0;;Baja Furgoneta/Furgón de CGAC con salida entre 2023-03-28 y 2023-12-28;Competencia — habia 4 baja(s) admisible(s) pero otras altas de la misma sociedad las aprovechan mejor (5875KPY → 0767MJM, 6586KPD → 2076MJP, 4535KFH → 2120MFK, 5949LLV → 1667MGR)
