columna_0,ID CAE,Matricula,TIPO VEHÍCULO,COMBUSTIBLE,Columna4,Columna5,Contrato,Acta de Entrega,Acta Devolución,BAJA,Ficha Técnica,Permiso de Circulación,IVTM,Compañía/Proveedor,Cod.Tipo Contrato,Tipo Contrato,Situación Contrato,f Vig Inicio,F.Vig.Final,Fecha Devolución,Tiempo Prop,Año,Cod.Sit.Contrato,Combustible2,Marca,Modelo/Versión,Cod.Sociedad,Sociedad,Ceco.Imput,Columna1,Matricula nueva,Marca2,Modelo/Versión3,Combustible4,Ceco,Renov. Flota,Fecha Alta,Columna3,Cod.Sociedad5,Pedido,Sociedad6,Ceco imputado,Factura,Comunidad Autonoma,CHASIS/Bastidor,CVA,F3,CVN,L,AE,Columna2,Vacias,Tipo vehículo2,Tipo combustible,CVA2,f2,CVN2,L2,AE [kWh],Comprobación,Comprobación 2,f23,CVN22,L23,columna_65
1.0,CAE500001,9853KXP,M1,GASOLINA,GASOLINA,M1,X,X,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2023-12-26,2024-01-31,2024-01-31,36,2024,7,DIESEL,PEUGEOT,208,1021,MEDICION AVANZADA CONTAD.,357712,1,0696MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,357107,2024,2024-11-29,0,1021,4500426762,MEDICION AVANZADA CONTAD.,,X,COMUNIDAD VALENCIANA,VF1RFK00273824834,5.1,10,17.3,13073,4405.601000000001,M1,CORRECTO ALQUILER,IGUAL,DISTINTO,7.89,9.19,17.92,13073,7136.433042999999,,,DISTINTO,DISTINTO,IGUAL,
2.0,CAE500002,3483KWB,M1,DIESEL,DIESEL,M1,X,X,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2023-12-22,2024-04-11,2024-04-11,111,2024,7,DIESEL,PEUGEOT,208,1021,MEDICION AVANZADA CONTAD.,357712,2,0699MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,357107,2024,2024-11-29,0,1021,4500426781,MEDICION AVANZADA CONTAD.,,X,COMUNIDAD VALENCIANA,VF1RFK00473824835,5.1,10,17.3,13073,4405.601000000001,M1,CORRECTO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
3.0,CAE500003,0041LWY,M1,DIESEL,DIESEL,M1,X,,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2023-10-03,2023-11-29,2023-11-29,57,2023,7,DIESEL,PEUGEOT,208 100 CV,1505,CGAC,355589,1,1255MJM,PEUGEOT,E-EXPERT PRO 100 KW,ELECTRICO,725455,2023,2023-07-26,0,1505,4500370218,CGAC,,X,CATALUÑA,VF3V1ZKXZPZ005196,5.1,10,28.2,13073,2980.6440000000002,M1,CORRECTO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
4.0,CAE500004,5713LWX,M1,DIESEL,DIESEL,M1,X,X,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2023-10-03,2023-12-01,2024-04-01,59,2023,7,DIESEL,PEUGEOT,208 100 CV,1505,CGAC,355589,2,2120MFK,RENAULT,KANGOO VAN E-TECH,ELECTRICO,725465,2023,2023-03-09,0,1505,4500351521,CGAC,,X,CATALUÑA,VF1RFK00970687019,5.1,10,17.3,13073,4405.601000000001,M1,CORRECTO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
5.0,CAE500005,5056LWD,M1,DIESEL,DIESEL,M1,X,,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2024-04-15,2024-05-02,2024-05-02,17,2024,7,DIESEL,PEUGEOT,208 100 CV,1001,AVSA,201347,1,2788MXG,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,201420,2024,2024-12-19,0,1001,4500426876,AVSA,,X,COMUNIDAD VALENCIANA,VF1RFK00273934296,5.1,10,17.3,13073,4405.601000000001,M1,CORRECTO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
6.0,CAE500006,0370LXS,N1,DIESEL,DIESEL,N1,X,,X,,X,X,,TLM,3,ALQUILER,DEVUELTO,2024-06-04,2024-12-31,2025-03-31,210,2024,7,DIESEL,PEUGEOT,BOXER L2 H2 140 CV,1066,CANALIZ. CIVILES S.A.,10669101,1,8651MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,10669120,2024,2024-11-29,0,1066,4500426872,CANALIZ. CIVILES S.A.,,X,COMUNIDAD VALENCIANA,VF1RFK00073824833,5.6,10,17.3,15815,6120.405,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
7.0,CAE500007,1865LDL,M1,DIESEL,DIESEL,M1,X,X,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2023-12-22,2024-01-30,2024-01-30,39,2024,7,DIESEL,CITROEN,C3,1021,MEDICION AVANZADA CONTAD.,357712,3,0695MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,357706,2024,2024-11-29,0,1021,4500426841,MEDICION AVANZADA CONTAD.,,X,COMUNIDAD VALENCIANA,VF1RFK00773824845,5.1,10,17.3,13073,4405.601000000001,M1,CORRECTO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
8.0,CAE500008,4295MRH,M1,DIESEL,DIESEL,M1,X,,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2024-06-08,2024-09-30,2025-03-07,114,2024,7,DIESEL,CITROEN,C3 100 CV,1001,AVSA,101353,2,6015MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,200567,2024,2024-11-26,0,1001,4500424209,AVSA,,X,COMUNIDAD VALENCIANA,VR7CBZYAXRT152191,5.1,10,16.4,13073,4523.258000000001,M1,CORRECTO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
9.0,CAE500010,8213KFW,L3e,GASOLINA,GASOLINA,L,X,,,X,X,X,,PROPIEDAD,5,PROPIEDAD,CANCELADO POR SINIESTRO,2017-12-04,2023-02-17,2023-02-17,1901,2023,6,GASOLINA,KYMCO,AGILITY CITY 125 CC,1021,MEDICION AVANZADA CONTAD.,357108,4,0692MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,357706,2024,2024-11-29,1,1021,4500426794,MEDICION AVANZADA CONTAD.,,X,COMUNIDAD VALENCIANA,VF1RFK00173824842,2.9,9.19,17.3,2831,264.7268099999999,L3e,CORRECTO PROPIEDAD,IGUAL,IGUAL,2.9,9.19,4.84,2831,617.4694099999999,,,IGUAL,DISTINTO,IGUAL,
10.0,CAE500011,0909HZB,L3e,GASOLINA,GASOLINA,L,X,,,X,X,X,,PROPIEDAD,5,PROPIEDAD,CANCELADO,2016-09-28,2024-09-26,2024-09-26,2920,2024,4,GASOLINA,KYMCO,AGILITY CITY 125 CC,1021,MEDICION AVANZADA CONTAD.,357108,5,0773MXH,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,357708,2024,2024-12-20,0,1021,4500426849,MEDICION AVANZADA CONTAD.,,X,COMUNIDAD VALENCIANA,VF1RFK00473824852,2.9,9.19,17.3,2831,264.7268099999999,L3e,CORRECTO PROPIEDAD,IGUAL,IGUAL,2.9,9.19,4.84,2831,617.4694099999999,,,IGUAL,DISTINTO,IGUAL,
