ID CAE,OK DE GF,Matricula Antigua,Contrato,Acta de Entrega,Acta Devolución,BAJA,Ficha Técnica,Permiso de Circulación,IVTM,Compañía/Proveedor,Cod.Tipo Contrato,Tipo Contrato,Situación Contrato,f Vig Inicio,F.Vig.Final,Tiempo Prop,Año,Cod.Sit.Contrato,Combustible,Marca,Modelo/Versión,Cod.Sociedad,Sociedad,Ceco.Imput,Columna1,Localidad,Provincia,Com. Aut.,Dirección,Huso,Coord.,Referencia Catastral,Descripción de la actuación,Matricula nueva,Marca2,Modelo/Versión3,Combustible4,Ceco,Renov. Flota,Fecha Alta,Columna3,Cod.Sociedad5,Pedido,Sociedad6,Ceco imputado,Factura,Comunidad Autonoma2,CHASIS/Bastidor,CVA,F,CVN,L,Ahorro estimado,Columna2,CALCULO GF,Vacias
,,3299KTP,,,,,,,,ARVAL SERV,1,RENTING,DEVUELTO,43518,2023-02-22,1903-12-31,1905-07-15,7,DIESEL,VOLVO,XC40 2.0 D3 AWD MOMENTUM,8001,FUCSA,DEFINIR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO ALQUILER
,,4215KVS,,,,,,,,AYVENS,4,PRE-ENTREGA,DEVUELTO,44159,2023-04-21,1902-05-27,1905-07-15,7,DIESEL,RENAULT,KANGOO,1201,SASTESA,352094,1,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO ALQUILER
,,B36750049,,,,,,,,CEDIDO,6,"CEDIDO (por ayto, planta.",CANCELADO,43879,2023-05-16,1903-03-28,1905-07-15,4,DIESEL,BOBCAT,MANIPULADORA TELESCOPICA,1326,UTE EDAR TABLADA,721326,1,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO ALQUILER
,,5554FNN,,,,,,,,PROPIEDAD,5,PROPIEDAD,CANCELADO,40274,2023-06-02,1913-02-25,1905-07-15,4,DIESEL,OPEL,VIVARO 2.0 CDTI 114 CV,1069,JEMAR E HIJOS S.L.,DEFINIR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO PROPIEDAD
CAE500001,CAE500001,9853KXP,X,X,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2023-12-26,2024-01-31,36,2024,7,DIESEL,PEUGEOT,208,1021,MEDICION AVANZADA CONTAD.,357712,1,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,0696MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,357107,2024,2024-11-29,0,1021,4500426762,MEDICION AVANZADA CONTAD.,,X,COMUNIDAD VALENCIANA,VF1RFK00273824834,5.1,10,17.3,13073,4405.601000000001,M1,7136.433042999999,CORRECTO ALQUILER
CAE500002,CAE500002,3483KWB,X,X,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2023-12-22,2024-04-11,111,2024,7,DIESEL,PEUGEOT,208,1021,MEDICION AVANZADA CONTAD.,357712,2,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,0699MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,357107,2024,2024-11-29,0,1021,4500426781,MEDICION AVANZADA CONTAD.,,X,COMUNIDAD VALENCIANA,VF1RFK00473824835,5.1,10,17.3,13073,4405.601000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500003,CAE500003,0041LWY,X,,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2023-10-03,2023-11-29,57,2023,7,DIESEL,PEUGEOT,208 100 CV,1505,"CIA.GRAL.AIGÜES D CATALUNYA,SA",355589,1,Barcelona,Barcelona,Cataluña,Aribau 112,UTM 31 ETRS89,429520.47  4582478.80,9626426DF2892F0001ZO,Sustitución de vehículo de combustión por eléctrico,1255MJM,PEUGEOT,E-EXPERT PRO 100 KW,ELECTRICO,725455,2023,2023-07-26,0,1505,4500370218,CGAC,,X,CATALUÑA,VF3V1ZKXZPZ005196,5.1,10,28.2,13073,2980.6440000000002,M1,6795.3454,CORRECTO ALQUILER
CAE500004,CAE500004,5713LWX,X,X,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2023-10-03,2023-12-01,59,2023,7,DIESEL,PEUGEOT,208 100 CV,1505,"CIA.GRAL.AIGÜES D CATALUNYA,SA",355589,2,Barcelona,Barcelona,Cataluña,Aribau 112,UTM 31 ETRS89,429520.47  4582478.80,9626426DF2892F0001ZO,Sustitución de vehículo de combustión por eléctrico,2120MFK,RENAULT,KANGOO VAN E-TECH,ELECTRICO,725465,2023,2023-03-09,0,1505,4500351521,CGAC,,X,CATALUÑA,VF1RFK00970687019,5.1,10,17.3,13073,4405.601000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500005,CAE500005,5056LWD,X,,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2024-04-15,2024-05-02,17,2024,7,DIESEL,PEUGEOT,208 100 CV,1001,AGUAS DE VALENCIA SA,201347,1,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,2788MXG,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,201420,2024,2024-12-19,0,1001,4500426876,AVSA,,X,COMUNIDAD VALENCIANA,VF1RFK00273934296,5.1,10,17.3,13073,4405.601000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500006,CAE500006,0370LXS,X,,X,,X,X,,TLM,3,ALQUILER,DEVUELTO,2024-06-04,2024-12-31,210,2024,7,DIESEL,PEUGEOT,BOXER L2 H2 140 CV,1066,CANALIZ. CIVILES S.A.,10669101,1,Valencia,Valencia,Comunidad Valenciana,Llanterners 3,UTM 30 ETRS89,723014.22  4371274.90,3114104YJ2731C0001SY,Sustitución de vehículo de combustión por eléctrico,8651MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,10669120,2024,2024-11-29,0,1066,4500426872,CANALIZ. CIVILES S.A.,,X,COMUNIDAD VALENCIANA,VF1RFK00073824833,5.6,10,17.3,15815,6120.405,N1,5607.998999999999,CORRECTO ALQUILER
