NUEVAS MATRÍCULAS,CHASIS
8606MWT,VF1RFK00073824797
8651MWT,VF1RFK00073824833
0971MXH,VF1RFK00073824847
7151MXV,VF1RFK00073824864
4073MXK,VF1RFK00073824878
2705MXG,VF1RFK00073934264
2704MXG,VF1RFK00073934278
6334MXF,VF1RFK00073934281
7830MXF,VF1RFK00073934295
3147MXJ,VF1RFK00073934300
8647MWT,VF1RFK00173824808
8642MWT,VF1RFK00173824811
6271MXF,VF1RFK00173934256
4280MXL,VF1RFK00173934290
8616MWT,VF1RFK00273824803
8658MWT,VF1RFK00273824820
0696MWT,VF1RFK00273824834
4258MXL,VF1RFK00273934265
8392MXG,VF1RFK00273934282
2788MXG,VF1RFK00273934296
4255MXL,VF1RFK00273934301
8644MWT,VF1RFK00373824812
3157MXJ,VF1RFK00373824857
5244MXL,VF1RFK00373824874
3103MXJ,VF1RFK00373934288
8349MXG,VF1RFK00373934291
4257MXL,VF1RFK00373934307
4260MXL,VF1RFK00373934310
8640MWT,VF1RFK00473824818
0699MWT,VF1RFK00473824835
0773MXH,VF1RFK00473824852
1970MXT,VF1RFK00473824883
3186MXJ,VF1RFK00473934266
4266MXL,VF1RFK00473934283
4261MXL,VF1RFK00473934297
4282MXL,VF1RFK00473934302
0701MWT,VF1RFK00573824844
2737MXG,VF1RFK00573824889
2722MXG,VF1RFK00573824892
3178MXJ,VF1RFK00573934261
4265MXL,VF1RFK00573934289
4263MXL,VF1RFK00573934308
3256MXH,VF1RFK00573934311
8603MWT,VF1RFK00673824805
1954MXT,VF1RFK00673824884
8711MXK,VF1RFK00673934270
3116MXJ,VF1RFK00673934284
3154MXJ,VF1RFK00673934303
5230MXL,VF1RFK00773824876
4300MXL,VF1RFK00773934262
4268MXL,VF1RFK00773934293
8796MXK,VF1RFK00773934309
8619MWT,VF1RFK00873824790
8634MWT,VF1RFK00873824823
0693MWT,VF1RFK00873824837
0823MXH,VF1RFK00873824854
5360MXF,VF1RFK00873824885
3214MXJ,VF1RFK00873934299
8597MWT,VF1RFK00973824801
8637MWT,VF1RFK00973824815
8781MXK,VF1RFK00973824846
3191MXJ,VF1RFK00973824863
1976MXT,VF1RFK00973824880
8496MXG,VF1RFK00973934263
4267MXL,VF1RFK00973934280
8387MXG,VF1RFK00973934294
8618MWT,VF1RFK00X73824807
8626MWT,VF1RFK00X73824810
0686MWT,VF1RFK00X73824838
0700MWT,VF1RFK00X73824841
7725MXF,VF1RFK00X73934269
4284MXL,VF1RFK00X73934286
3246MXJ,VF1RFK00X73934305
8636MWT,VF1RFK00073824816
0650MXH,VF1RFK00073824850
0692MWT,VF1RFK00173824842
8436MXG,VF1RFK00173934306
8627MWT,VF1RFK00273824817
8249MXG,VF1RFK00273934279
6370MXF,VF1RFK00373824888
8628MWT,VF1RFK00473824821
2717MXG,VF1RFK00473824897
4082MXJ,VF1RFK00673934267
0695MWT,VF1RFK00773824845
7775MXF,VF1RFK00773934312
6952MXF,VF1RFK00873934304
2604MXV,VF1RFK00973824877
8601MWT,VF1RFK00073824783
8624MWT,VF1RFK00273824798
8617MWT,VF1RFK00573824794
8625MWT,VF1RFK00X73824788
6439MWV,VR7CBZYA6RT152219
6128MWV,VR7CBZYA8RT154442
2720MWP,VR7CBZYA5RT152213
0192MWZ,VR7CBZYA1RT153018
6007MWV,VR7CBZYA9RT152179
9928MWY,VR7CBZYA7RT152200
