columna_0,Sociedad,Localidad,Provincia,Comunidad Autonoma,Dirección,Coordenadas,Referencia Catastral,Descripción de Actuación,Suma de AE (kWh),columna_10,columna_11,columna_12,columna_13
,EMPRESA MIXTA CALPE,,,COMUNIDAD VALENCIANA,,,,,264.7268099999999,,,Comunidad Autonoma,Suma de Suma de AE (kWh)
,G.O.INVERSIONES S.L.,,,COMUNIDAD VALENCIANA,,,,,4405.601000000001,,,ARAGON,534063.348
,EMP.MUN.SERVEIS PUBLICS,,,CATALUÑA,,,,,4928.521,,,CATALUÑA,236925.211
,EMP.AG.POTABL.MALGRAT SA,,,CATALUÑA,,,,,5693.4,,,COMUNIDAD VALENCIANA,1005168.54108
,UTE CHIVA(AV/EG),,,COMUNIDAD VALENCIANA,,,,,6120.405,,,,1776157.10008
,"E.Mixta Metropolitana, SA",,,COMUNIDAD VALENCIANA,,,,,10245.952369999999,,,,
,GAMASER,,,COMUNIDAD VALENCIANA,,,,,10526.006000000001,,,no es un problema. En que comunidad automana tiene su sede ,
,EGEVASA,,,COMUNIDAD VALENCIANA,,,,,12240.81,,,"Afinar por el convenio cae. El propietario que realiza la inversión, esos propietarios. Firmar un convenio CAE por cada. BV agrupar las actuaciones, con dos criterios, en que año se ha comprado (2023, 2024, 2025) por comunidad autonoma",
,MEDICION AVANZADA CONTAD.,,,COMUNIDAD VALENCIANA,,,,,36611.40448,,,,
,AYWA SER.AMBIENTALES SL,,,COMUNIDAD VALENCIANA,,,,,39413.227,,,,
,EMIVASA,,,COMUNIDAD VALENCIANA,,,,,39575.61665,,,,
,G.O.MEDIOAMBIENTE S.L.,,,COMUNIDAD VALENCIANA,,,,,67721.37410999999,,,,
,CANALIZ. CIVILES S.A.,,,COMUNIDAD VALENCIANA,,,,,75632.15999999999,,,,
,AVSA,,,COMUNIDAD VALENCIANA,,,,,126899.22185,,,,
,CGAC,,,CATALUÑA,,,,,226303.29,,,,
,ARAGONESA SER.PUBLICOS SL,,,ARAGON,,,,,534063.348,,,,
,ISG,,,COMUNIDAD VALENCIANA,,,,,575512.03581,,,,
,Total general,,,,,,,,1776157.10008,,,,
,,,,,,,,,,,,ARAGON,534063.348
,,,,,,,,,,,,CATALUÑA,236925.211
,,,,,,,,,,,,COMUNIDAD VALENCIANA,1005168.54108
,,,,,,,,,,,,Total general,1776157.10008
